County,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Brooks County,0.9704,0.7611,0.8492,0.7741,0.9275
Bryan County,0.28,0.7101,0.6618,0.1104,0.3115
Bulloch County,0.9297,0.2326,0.7521,0.8781,0.8374
Burke County,0.8148,0.552,0.881,0.4967,0.7483
Butts County,0.5896,0.392,0.72,0.4766,0.5565
Calhoun County,0.9924,0.6344,0.9526,0.917,0.9688
Camden County,0.587,0.6316,0.6793,0.6433,0.6618
Candler County,0.8508,0.9281,0.7798,0.8381,0.916
Carroll County,0.8794,0.8171,0.6885,0.6176,0.8428
Catoosa County,0.3519,0.5733,0.3217,0.1979,0.3086
Charlton County,0.9889,0.2262,0.776,0.8559,0.8855
Chatham County,0.8056,0.5647,0.8858,0.7181,0.805
Chattahoochee County,0.6675,0.1629,0.8377,0.776,0.6554
Chattooga County,0.91,0.9246,0.4948,0.9625,0.9481
Cherokee County,0.2787,0.4263,0.5892,0.0503,0.1969
Clarke County,0.8972,0.1069,0.833,0.7547,0.7502
Clay County,0.8387,0.9558,0.937,0.6685,0.9061
Clayton County,0.9765,0.8151,0.9952,0.7334,0.9488
Clinch County,0.7668,0.9265,0.7366,0.9819,0.9348
Cobb County,0.4114,0.3525,0.8743,0.2227,0.3993
Coffee County,0.9004,0.95,0.8116,0.9166,0.9609
Colquitt County,0.964,0.9726,0.8377,0.8976,0.9847
Columbia County,0.2494,0.6901,0.7165,0.0302,0.23
Cook County,0.9742,0.8228,0.7521,0.7687,0.9338
Coweta County,0.2479,0.4607,0.6742,0.1082,0.2402
Crawford County,0.7782,0.3773,0.636,0.6128,0.6837
Crisp County,0.9908,0.952,0.8775,0.7458,0.978
Dade County,0.4932,0.1543,0.1985,0.7191,0.4388
Dawson County,0.4276,0.1359,0.3166,0.0926,0.1861
Decatur County,0.9726,0.7547,0.8743,0.9539,0.9679
DeKalb County,0.7843,0.5453,0.9618,0.678,0.7903
Dodge County,0.7741,0.7859,0.741,0.8734,0.8559
Dooly County,0.8864,0.588,0.9115,0.9857,0.9313
Dougherty County,0.9955,0.8826,0.9765,0.7674,0.9761
Douglas County,0.7181,0.7235,0.943,0.3404,0.7012
Early County,0.9672,0.6818,0.8982,0.853,0.9357
Echols County,0.4935,0.5151,0.818,0.203,0.4623
Effingham County,0.3688,0.2727,0.5994,0.1874,0.2851
